"id","generated_procedure_name","generated_procedure_description","procedure_name"
407,"Large circle hernia patch with strap for ventral hernia repair.","This is a surgical procedure for repairing a ventral hernia, where a circular patch made of a synthetic material called Ventralex is used to cover and reinforce the weakened or torn abdominal wall, and a strap is used to hold it in place while the tissue heals.","patch hernia ventralex lg circle w/strap"
408,"21cm inflatable penile prosthesis with pump (Model Precon 700).","This is a medical procedure called penile prosthesis implantation surgery. It involves surgical implantation of a device (21cm long) that can be pumped up (with a pump numbered 700) to create an erection in men who have erectile dysfunction.","prosthesis penile precon 21cm pump 700"
409,"Advanced Meniscal Repair with the NovoStitch Plus Suture Passer","The medical procedure is the use of the suture passer novostitch plus meniscal repair system, which is a minimally invasive surgical technique used to repair torn meniscus in the knee joint. It involves using a specialized device that allows the surgeon to place sutures to reattach the torn edges of the meniscus, promoting healing and restoring knee function.","suture passer novostitch plus meniscal repair system"
410,"Compact Lead Set for EKG Monitoring - 8 Electrodes, 75cm Length","Compact Lead Set for EKG Monitoring - 8 Electrodes, 75cm Length","kit lead compact 1x8 75cm"
411,"Spinal Fusion with 22x25mm Cage Implant - Procedure ID 48292225","No description.","cage spinal vlift 22x25mm 48292225"
412,"Knee Joint Enlargement with 2.5x12mm Distal Combination Implant","Knee Joint Enlargement with 2.5x12mm Distal Combination Implant","knee augmentation distal combo 2.5x12mm"
413,"Distal Knee Augmentation with 16mm Size 5 Implant on Right Knee","No description","knee augmentation distal sz5 16mm rt"
414,"Laser-assisted endoscopy using Probe Fiber Flex 600 (Ent 15706)","Laser-assisted endoscopy using Probe Fiber Flex 600 (Ent 15706)","probe fiber laser flex 600 ent 15706"
415,"Internal brace ligament augmentation using hardware repair kit.","No description.","kit repair h/w internalbrace lgmnt augmnt"
416,"Advanced Pain Relief Therapy with PTM Pain Pump for Programmers","No Description","programmer my ptm pain pump therapy th90t01"
417,"Surgical Implantation of the Lucia 602.s 20.0 Diopter IOL Lens.","This is a procedure to implant a specific type of intraocular lens called the Lucia 602.s with a power of 20.0 diopters. It involves the use of a CT scan to measure the exact dimensions of the eye and determine the appropriate lens size and placement. This procedure is typically used to improve vision in patients with cataracts or other types of age-related vision loss.","lens iol ct lucia 602.s 20.0 diopter"
418,"Thin Skin Graft with Alloderm Select and Smooth Skin Perfusion.","Thin Skin Graft with Alloderm Select and Smooth Skin Perfusion.","graft dermal alloderm select con sm perf-thn 0.8-1.2"
419,"Computed Tomography (CT) Scan of the Abdomen without Contrast.","This is a medical imaging procedure called CT (computed tomography) scan of the abdomen without contrast. It uses X-ray technology to create detailed cross-sectional images of the abdomen and surrounding organs, without the use of a contrast agent. This procedure may be used to diagnose and evaluate conditions such as abdominal pain, inflammation, tumors, infections and other abnormalities.","ct abdomen w/o contrast"
420,"CT-guided percutaneous catheter drainage of soft tissue fluid.","CT Drain Soft Tissue Fluid w/Cath Perc is a medical procedure where a catheter is inserted through the skin into the soft tissues under ultrasound or CT scan guidance to drain fluid or abscess in the soft tissues.","ct drain soft tissue fluid w/cath perc"
421,"CT scan of the chest and upper back with and without contrast.","This is a medical imaging procedure using computed tomography (CT) to visualize the thoracic spine, which is the portion of the spinal column between the cervical and lumbar regions. The w/ + w/o contrast indicates that the scan will be done both with and without the use of a contrast dye to highlight certain structures or abnormalities in the spine.","ct spine thoracic w/ + w/o contrast"
422,"Computed Tomography (CT) scan of the Sinuses without Contrast.","This is a medical procedure called CT Sinus without Contrast, which is used to create detailed images of the sinuses using computed tomography (CT) technology without the use of a contrast agent. It is typically used to diagnose and evaluate sinus infections, inflammation, blockages, and other conditions affecting the sinuses.","ct sinus w/o contrast"
423,"MRI Cardiac Morphology and Function with and without Contrast.","MRI (Magnetic Resonance Imaging) Cardiac Morphology and Function with and without Contrast is a medical imaging procedure that uses strong magnetic fields and radio waves to produce detailed images of the structures within the heart, including the chambers, valves, and blood vessels. Contrast is sometimes used to help highlight certain areas of the heart for better visualization. The procedure can help diagnose a wide range of heart conditions, including heart disease, heart failure, and congenital heart defects.","mri cardiac morph fnct w/ + w/o cnt"
424,"Left Breast Digital Screening with Mammo implant in milligrams","No Description","mg mammo implant digital screening left"
425,"Injection of Abscess/Cyst through Drainage Catheter with Count","The medical procedure is injecting an abscess or cyst via a drain catheter with a nearby puncture.","inject absces/cyst via drn cath w/cnt"
426,"Perioperative Postoperative Monitoring and Evaluation Program.","Perioperative Postoperative Monitoring and Evaluation Program.","peri-proc pm evaluation program"
427,"Deleted endovascular repair of internal iliac artery/aneurysm.","Based on the text provided, it appears to be referring to an endovascular repair of an infrarenal abdominal aortic or iliac artery addition. This is a medical procedure where a stent graft is inserted to repair an aneurysm or blockage in the aorta or iliac arteries located in the abdomen. It is a minimally invasive alternative to open surgical repair.","deleted endovasc repair infrnl aa/ia add"
428,"Selection of Additional Second Lower Abdominal/Pelvic Arteries","Selection of Additional Second Lower Abdominal/Pelvic Arteries","select art abd/pel/lwr 2nd ea addl"
429,"Left Joint and Bursa Aspiration and Injection with CT Guidance","This is a medical procedure called CT joint/bursa inter arthr/asp/inj left. It involves using computed tomography (CT) guidance to guide the insertion of a needle into a joint or bursa in the left side of the body, followed by aspiration (removal) of fluids or injection of medication.","ct joint/bursa inter arthr/asp/inj left"
430,"Ultrasound-guided fine needle aspiration (FNA) thyroid biopsy.","This medical procedure is a fine needle aspiration (FNA) biopsy of the thyroid gland, typically performed with ultrasound guidance to ensure the needle is inserted into the correct location.","us fna thyroid biopsy w/guidance"
431,"Screw Removal Procedure with Conical Extractor and THD Washer.","No Description","screw conical extract device thd washer"
432,"Enhanced Knee Repair with Internal Brace Ligament Augmentation","The medical procedure is an Internal Brace for Knee Ligament Repair and Augmentation using Implants. It involves the use of specialized implants to reinforce and support damaged ligaments in the knee joint. The procedure is typically performed by an orthopedic surgeon and aims to improve knee stability and reduce the risk of future injuries. The implant is placed inside the knee joint and secured to the damaged ligament to provide additional support and protection during the healing process.","implant ligament internal brace knee augment repair"
433,"Advanced Meniscal Repair System with Suture Loading Technology","This is a medical procedure for repairing a meniscus tear using the NovoStitch Plus Meniscal Repair System, which involves using a suture loader to insert sutures into the torn meniscus to help it heal.","suture loader novostitch plus meniscal repair system"
434,"Enhanced Mesh Repair for Hernia - Surgimend 2.0 (Size 10x15cm)","This is a medical procedure for hernia repair using a surgical mesh called SurgiMend 2.0. The mesh has a size of 10x15cm.","mesh surgimend 2.0 hernia repair 10x15cm"
435,"Spinal Cord Stimulation with 8-Contact Lead and 70cm Extension","No description.","lead spinal linear 8-contact 70cm st"
436,"Ultrasound-guided tissue sampling with a fine 20 gauge needle.","This is a medical procedure known as a needle biopsy, specifically using an ultrasound-guided HD Echotip 20 gauge (7.95fr) needle. The procedure involves using a small needle to extract tissue or fluid from a specific area of the body for testing and diagnosis. The use of ultrasound helps guide the needle to the correct location for the biopsy.","needle biopsy ultrasound hd echotip 20ga 7.95fr"
437,"Rectal Mesh Implant with Parietex ProGrip Technology (20x15cm)","This is a medical procedure called mesh repair using Parietex ProGrip Rectangular mesh measuring 20x15cm. It is commonly used in hernia repairs.","mesh parietex progrip rect 20x15cm"
438,"32-Contact Electrode Grid Crescent Procedure for Brain Mapping","32-Contact Electrode Grid Crescent Procedure for Brain Mapping","electrode grid cortac 32 contact crescent"
439,"Endoscopic Tissue Removal with Apex 360 Knife Sonopet IQ, 12cm","No description.","knife sonopet iq apex 360 12cm"
440,"Ultrasound-guided Infiniti FMS with Sleeve Insertion Procedure","Ultrasound-guided Infiniti FMS with Sleeve Insertion Procedure","pack infiniti ultrasound fms w/sleeve 8065752082"
